Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,10/10/2010,,13,47,5500,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,48,5752,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,49,5628,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,50,5630,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,51,5887,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,52,5384,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,53,5888,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,54,8020,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,55,8405,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,56,8505,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,57,9368,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,5,2850,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,6,2388,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,7,2557,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,8,2528,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,9,3702,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,10,3741,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,11,3672,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,12,3840,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,13,3870,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,14,3854,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,15,3715,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,16,3778,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,17,3907,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,18,3945,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,19,3925,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,20,4083,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,21,3900,,2,25,4
Rivendell,503,H340702152,10/10/2010,10/11/2010,14,22,3767,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,23,3759,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,24,3833,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,25,3928,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,26,3978,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,27,3966,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,28,3930,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,29,3940,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,30,3875,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,31,4129,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,32,3964,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,33,3987,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,34,3958,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,35,3968,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,36,4036,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,37,3979,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,38,4029,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,39,4158,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,40,3975,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,41,3855,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,42,3928,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,43,3969,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,44,3870,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,45,4025,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,46,4025,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,47,4062,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,48,4020,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,49,4034,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,50,3963,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,51,4343,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,52,4205,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,53,4186,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,54,4179,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,55,4059,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,56,3989,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,57,3916,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,58,3716,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,59,3699,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,60,3701,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,61,4015,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,62,3921,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,63,4012,,2,25,4
Rivendell,503,H340702152,10/10/2010,,14,64,4104,,2,25,4
